State,i,e,w,r,c,v,LETTER,DIGIT,QUOTE,OP,SC,SPACE,NL,EOF,OTHER,f,n,t,h,a,o,u,d,l,s
ST_KW_WH,ST_KW_WHI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_WHI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_WHIL,ST_IN_IDENT
ST_KW_WHIL,ST_IN_IDENT,ST_KW_WHILE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_WHILE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_R,ST_IN_IDENT,ST_KW_RE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RET,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RET,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RETU,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETU,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RETUR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETUR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_KW_RETURN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETURN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_ERROR,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
